# Lambda Flux
5008.123156232844 1.0069699196178894e-13
5576.306589765561 -1.5726449298971644e-15
5753.863912744534 -1.1514544399859305e-15
5876.181179685605 inf
6300.345895690931 2.8341468970774276e-15
6363.477388305677 inf
6546.953288717284 2.005983525719289e-14
6562.73616187097 7.525648803905965e-14
6582.464753313078 6.079634989775675e-14
6677.161992235198 inf
6716.619175119415 5.614141004953617e-15
6730.42918912889 6.110017908208519e-15
7063.842384500518 inf
7134.8653136921075 6.324839507595083e-15
7320.314073247925 2.291385507379486e-15
7330.178368968979 1.839881197889423e-15
7750.397366685884 1.1383706611635486e-15
8237.693575305957 2.1739219312994815e-16
8504.029559774417 inf
8578.998207254428 inf
8598.726798696536 2.635322930698376e-16
8665.804009599704 4.980342671195277e-16
8681.58688275339 inf
8699.342615051288 2.1975596152496236e-16
8726.962643070241 5.802249924727836e-16
8736.826938791295 2.578193964841875e-16
8750.63695280077 1.1274213880930763e-15
8766.419825954457 4.14068786092349e-16
8776.284121675511 6.009905999627764e-16
8792.066994829198 7.02315206539966e-16
8799.958431406041 7.280018182090211e-16
8809.822727127095 7.53055394616264e-16
8817.714163703939 8.96010806639749e-16
8847.3070508671 1.0333029899015733e-15
8863.089924020787 2.0362721888778452e-15
8874.927078886052 1.0478639605303004e-15
8886.764233751317 8.804597468590257e-16
8900.574247760793 1.134855994043217e-15
8920.302839202901 2.1376800019040196e-15
8942.00428978922 1.8471834490711348e-15
8953.841444654485 1.678164171110364e-15
8967.65145866396 1.5496755274239293e-15
