# Lambda Flux
3710.8858494949295 4.036035568343855e-15
3724.824124951358 8.83048886786485e-15
3764.647769112583 inf
3794.515502233501 inf
3864.206879515644 5.255657512313821e-15
3884.118701596256 inf
3965.757172126766 6.765182915582025e-16
4099.1663800668675 inf
4338.108245034214 inf
4360.011249322887 inf
4682.582767028805 inf
4857.806801338193 5.137008265113285e-15
4955.374729533192 4.4325310978906273e-14
4973.295369405743 2.3765167150626774e-15
5003.1631025266615 1.4467036728983915e-13
5196.3077767086 -2.2929723378175333e-15
5407.373090763089 -2.776599654520474e-15
5572.64121403217 -3.046933141824011e-15
5749.856430549618 -3.4253192225683003e-15
5871.318545241354 -3.883806155464612e-16
6297.431537766454 inf
6309.378631014822 inf
6363.140550632475 inf
6548.320495982169 3.1273891173303845e-14
6562.258771438597 1.2270515233185074e-13
6584.161775727271 1.0314141717573648e-13
6717.570983667372 inf
6733.500441331862 7.20750396623351e-15
