# Lambda Flux
3709.5117605352357 1.0430298011421072e-15
3721.4588537836034 5.266777750505371e-16
3761.282497944828 inf
3775.2207734012563 3.157817925004796e-16
3783.185502233501 5.158551611799978e-16
3838.9386040592153 2.3219150974452474e-16
3854.868061723705 inf
3888.718159260746 inf
3984.2949052476843 inf
4018.145002784725 inf
4189.38667267799 -1.767788543585281e-16
4328.769427242275 inf
4472.134546222684 inf
4563.7289277935 2.4966203309654714e-16
4655.323309364316 1.5711618289662304e-16
4717.0499578142135 inf
4954.0006405734985 1.6934926240031673e-15
5001.789013566968 5.707822486120095e-15
5236.748514118191 1.3759837929184408e-16
5304.448709192273 2.8212234943482554e-16
5352.237082185742 2.628850197682739e-16
5517.505205454823 1.4086723965501418e-16
5543.390574159619 2.2427785449719353e-16
5573.258307280537 4.933831479590313e-16
5867.953274073599 1.1471143654533213e-16
6140.745236577985 inf
6296.0574488067605 inf
6546.946407022475 4.295817269296175e-15
6560.884682478903 9.920796359475417e-15
6582.787686767577 1.5034400950546404e-14
6716.196894707678 inf
6732.126352372168 3.9898987038316007e-16
6973.059399547576 1.9436868878676852e-16
6990.980039420127 3.8410276363445373e-16
7000.935950460433 5.74841504659226e-16
7022.838954749106 1.202265687493737e-15
7030.803683581351 1.399798677607763e-15
7046.733141245841 2.01956444603054e-15
